file	line	kind	marker	status	assessment	context	source
DESIGN.md	459	doc-progress	| Event-loop phase order | Perry | Today one iteration runs microtasks → timers and immediates in the same batch → nextTick → intervals → cron → all I/O pumps → park (`promise/microtasks.rs:1192–1221`), which is **not** Node's order. Moving to turnloop is the opportunity to implement timers → pending → poll (`turn`) → check → close; gated by gap tests |	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	| JS values, promises, callbacks | Perry | Tokens map to Perry-side records. Results convert to JS values on the main thread, as `spawn_for_promise_deferred` does today | | GC rooting and pinning | Perry | Root Buffers and pin promises from submit to completion; exactly-once completion (D4) gives the release point. `gc_register_mutable_root_scanner` stays Perry's | | Event-loop phase order | Perry | Today one iteration runs microtasks → timers and immediates in the same batch → nextTick → intervals → cron → all I/O pumps → park (`promise/microtasks.rs:1192–1221`), which is **not** Node's order. Moving to turnloop is the opportunity to implement timers → pending → poll (`turn`) → check → close; gated by gap tests | | Microtasks, nextTick | Perry | unchanged | | Error text and codes | Perry | Map `Error { kind, os }` to Node's `code`/`errno`/`syscall` |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/DESIGN.md#L459
DESIGN.md	520	doc-progress	- GC stress with `PERRY_GC_SCHEDULE_SEED` + `PERRY_GC_PROTECT_FROMSPACE`, asserting collections landed while I/O was pending	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	Each phase must pass all of these before it lands: - Perry's gap suite (fast and auto-optimize tiers) - GC stress with `PERRY_GC_SCHEDULE_SEED` + `PERRY_GC_PROTECT_FROMSPACE`, asserting collections landed while I/O was pending - an instruction A/B at cgu=1 with a control probe - a Windows CI arm	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/DESIGN.md#L520
LANES.md	22	doc-progress	- Report honestly: failing or unrun tests are listed as failing or unrun, with the command.	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	- `unsafe` blocks carry a `// SAFETY:` comment; `#![deny(unsafe_op_in_unsafe_fn)]`. - `cargo fmt` and `cargo clippy -- -D warnings` (for each target you can check) before each commit. - Report honestly: failing or unrun tests are listed as failing or unrun, with the command.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANES.md#L22
LANE_REPORT.md	71	doc-progress	- UNRUN (sandbox): PostgreSQL real suite. Attempted	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	- PASS: full WASI 0.2 portable protocol suites and DNS resolve/cancel slot reuse; final rerun includes all newest cancellation/selection/idle tests. - UNRUN (sandbox): PostgreSQL real suite. Attempted `python3 scripts/test-servers.py --services postgres run cargo test -p turnloop-postgres --features turnloop --test async_server -- --include-ignored --test-threads=1 --nocapture`. `initdb` failed at `shmget`, Operation not permitted, before tests launched.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L71
LANE_REPORT.md	74	doc-progress	- UNRUN (sandbox): MySQL real suite. Attempted	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	`python3 scripts/test-servers.py --services postgres run cargo test -p turnloop-postgres --features turnloop --test async_server -- --include-ignored --test-threads=1 --nocapture`. `initdb` failed at `shmget`, Operation not permitted, before tests launched. - UNRUN (sandbox): MySQL real suite. Attempted `python3 scripts/test-servers.py --services mysql run cargo test -p turnloop-mysql --features turnloop --test async_server -- --include-ignored --test-threads=1 --nocapture`. `mysqld --initialize-insecure` crashed with SIGSEGV before tests launched.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L74
LANE_REPORT.md	77	doc-progress	The ledger records these fixture commands as FAIL; adapter runtime is UNRUN.	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	`python3 scripts/test-servers.py --services mysql run cargo test -p turnloop-mysql --features turnloop --test async_server -- --include-ignored --test-threads=1 --nocapture`. `mysqld --initialize-insecure` crashed with SIGSEGV before tests launched. The ledger records these fixture commands as FAIL; adapter runtime is UNRUN. - FAIL (inherited integration dependency): Windows all-target Clippy cannot compile socket tests because `turnloop::backend::Platform` has no Windows	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L77
LANE_REPORT.md	92	doc-progress	- UNRUN: Windows/Linux runtime (hosts unavailable).	STILL TRUE — historical local; STALE as current coverage	N-W: required Windows default/executor/all-feature production suites execute; standalone spike reruns, ETW/cycles/minimum-version/long-soak are not implied.	required deterministic tests also cover positive/malformed wire records, off-loop worker completion and native resolver validation. - UNRUN: Windows/Linux runtime (hosts unavailable).  ## Deviations / proposed DESIGN changes	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L92
LANE_REPORT.md	142	doc-progress	- Out-of-sandbox SQL WASI rerun (UNRUN): source `.tools/wasm-env.sh`, then	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	- WASI 0.2 real runnable subset (PASS, first source `.tools/wasm-env.sh`): `python3 scripts/test-servers.py --services redis,mongodb,smtp run python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --real-servers --package turnloop-redis --package turnloop-mongodb --package turnloop-smtp`. - Out-of-sandbox SQL WASI rerun (UNRUN): source `.tools/wasm-env.sh`, then `python3 scripts/test-servers.py --services postgres,mysql run python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --real-servers --package turnloop-postgres --package turnloop-mysql`. - CI retains `protocol` and `protocol-wasi` in required `ci-gate` dependencies.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L142
LANE_REPORT.md	184	doc-progress	| `cargo test --locked --workspace -- --test-threads=1` | PASS: 245 passed, 13 service tests ignored/UNRUN |	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	| Strict `cargo clippy --locked --workspace --all-targets`, default/all features, `-D warnings -D clippy::undocumented_unsafe_blocks` | PASS | | `cargo +stable check --locked --workspace --all-targets --all-features` | PASS | | `cargo test --locked --workspace -- --test-threads=1` | PASS: 245 passed, 13 service tests ignored/UNRUN | | Same workspace tests with `--all-features` | PASS: 300 passed, 20 service tests ignored/UNRUN | | `cargo test --locked -p turnloop-postgres -p turnloop-tls --all-features -- --test-threads=1` | PASS: final 34 passed, 5 real SQL tests ignored/UNRUN |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L184
LANE_REPORT.md	185	doc-progress	| Same workspace tests with `--all-features` | PASS: 300 passed, 20 service tests ignored/UNRUN |	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	| `cargo +stable check --locked --workspace --all-targets --all-features` | PASS | | `cargo test --locked --workspace -- --test-threads=1` | PASS: 245 passed, 13 service tests ignored/UNRUN | | Same workspace tests with `--all-features` | PASS: 300 passed, 20 service tests ignored/UNRUN | | `cargo test --locked -p turnloop-postgres -p turnloop-tls --all-features -- --test-threads=1` | PASS: final 34 passed, 5 real SQL tests ignored/UNRUN | | Strict all-target/all-feature Clippy for both touched crates: WASI p2/p3, web, Linux x86_64 | PASS; p3 uses nightly-2026-09-07 |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L185
LANE_REPORT.md	186	doc-progress	| `cargo test --locked -p turnloop-postgres -p turnloop-tls --all-features -- --test-threads=1` | PASS: final 34 passed, 5 real SQL tests ignored/UNRUN |	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	| `cargo test --locked --workspace -- --test-threads=1` | PASS: 245 passed, 13 service tests ignored/UNRUN | | Same workspace tests with `--all-features` | PASS: 300 passed, 20 service tests ignored/UNRUN | | `cargo test --locked -p turnloop-postgres -p turnloop-tls --all-features -- --test-threads=1` | PASS: final 34 passed, 5 real SQL tests ignored/UNRUN | | Strict all-target/all-feature Clippy for both touched crates: WASI p2/p3, web, Linux x86_64 | PASS; p3 uses nightly-2026-09-07 | | `python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --package turnloop-postgres --package turnloop-tls` | PASS: 22 tests, six positive-count suites |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L186
LANE_REPORT.md	190	doc-progress	| Windows strict library Clippy and explicit `channel_binding`, `protocol`, `server` test-target Clippy | PASS; execution UNRUN |	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	| `python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --package turnloop-postgres --package turnloop-tls` | PASS: 22 tests, six positive-count suites | | Same protocol command with `--target wasm32-wasip3` | PASS: 22 tests; existing declared p3 release profile for PG async | | Windows strict library Clippy and explicit `channel_binding`, `protocol`, `server` test-target Clippy | PASS; execution UNRUN | | Windows strict all-target Clippy | FAIL: inherited missing `backend::Platform` IOCP provider; no cfg exclusion added | | `bash scripts/ci/no-tokio.sh`; `python3 scripts/ci/soak.py` | PASS: all policy targets; seven-day policy and existing rustls exception retained |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L190
LANE_REPORT.md	240	doc-progress	**both SQL suites UNRUN (sandbox)** in this invocation. MySQL startup was never	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	`python3 scripts/test-servers.py --services postgres,mysql run python3 scripts/ci/run-tests.py protocol --package turnloop-postgres --package turnloop-mysql`. Fixture command FAIL at PostgreSQL initdb `shmget`, Operation not permitted; **both SQL suites UNRUN (sandbox)** in this invocation. MySQL startup was never reached. User-supplied pre-fix outside-sandbox results remain: MySQL server/async PASS (3 + 1), PostgreSQL sync PASS (4), PostgreSQL async FAIL (binding bug).	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L240
LANE_REPORT.md	252	doc-progress	after sourcing `.tools/wasm-env.sh` (UNRUN: sandbox). Linux/Windows runtime remains	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	index path gate, and rerun the SQL reproduction above outside the sandbox. Also run `python3 scripts/test-servers.py --services postgres,mysql run python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --real-servers --package turnloop-postgres --package turnloop-mysql` after sourcing `.tools/wasm-env.sh` (UNRUN: sandbox). Linux/Windows runtime remains UNRUN without those hosts; full Windows all-target compilation needs the provider merge. Browser runtime is UNRUN; raw PostgreSQL TCP is not a browser capability.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L252
LANE_REPORT.md	253	doc-progress	UNRUN without those hosts; full Windows all-target compilation needs the provider	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	run `python3 scripts/test-servers.py --services postgres,mysql run python3 scripts/ci/run-tests.py protocol-wasi --target wasm32-wasip2 --real-servers --package turnloop-postgres --package turnloop-mysql` after sourcing `.tools/wasm-env.sh` (UNRUN: sandbox). Linux/Windows runtime remains UNRUN without those hosts; full Windows all-target compilation needs the provider merge. Browser runtime is UNRUN; raw PostgreSQL TCP is not a browser capability. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L253
LANE_REPORT.md	254	doc-progress	merge. Browser runtime is UNRUN; raw PostgreSQL TCP is not a browser capability.	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	after sourcing `.tools/wasm-env.sh` (UNRUN: sandbox). Linux/Windows runtime remains UNRUN without those hosts; full Windows all-target compilation needs the provider merge. Browser runtime is UNRUN; raw PostgreSQL TCP is not a browser capability.  ## adb-fix2 — SQL and parallel no-spin fixes complete	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L254
LANE_REPORT.md	268	doc-progress	exactly one aborted completion per pending token followed by Closed. EOF cannot	STILL TRUE — behavior	Pending operation/token ownership, not unfinished work.	now returns `Error::ConnectionAborted` immediately, retaining every error field in one shared owned copy. It discards unsent output, rejects reuse, and drains exactly one aborted completion per pending token followed by Closed. EOF cannot overwrite the diagnostic. Async readers return `io::ErrorKind::ConnectionAborted` with the typed error and close the stream. Ordinary ERROR remains borrowed and	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L268
LANE_REPORT.md	289	doc-progress	core scripts check severity precedence, pending-token completion and EOF handling.	STILL TRUE — behavior	Pending operation/token ownership, not unfinished work.	Scripted FATAL/PANIC-then-EOF runs **12 cases across six async readers**, checking kind, SQLSTATE/message, retained detail and exactly-once stream drop. Fragmented core scripts check severity precedence, pending-token completion and EOF handling. The real PostgreSQL kill assertion is strengthened to require 57P01 and the exact message. Everything after it is unchanged and now executes successfully, including	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L289
LANE_REPORT.md	314	doc-progress	| Windows strict library and PG protocol/server/allocation test Clippy with existing Zig wrapper | PASS; runtime UNRUN |	STILL TRUE — historical local; STALE as current coverage	N-W: required Windows default/executor/all-feature production suites execute; standalone spike reruns, ETW/cycles/minimum-version/long-soak are not implied.	| Full native_surface, 10 fresh parallel processes each in default/executor/all-feature modes | Final PASS **30/30**, **480 tests**, **1,800 no-spin expiries**; initial campaign FAIL from SIGUSR1 collision after 20 passes | | Strict workspace Clippy, default/all features; touched-crate all-target Clippy on Linux x86_64, WASI p2/p3, web | PASS; warnings and undocumented unsafe blocks denied | | Windows strict library and PG protocol/server/allocation test Clippy with existing Zig wrapper | PASS; runtime UNRUN | | Windows all-target Clippy | FAIL: inherited absent `backend::Platform` IOCP provider. Initial runs without the wrapper also failed on missing C headers | | Stable workspace/all-target/all-feature check; fmt; whitespace; path and feature gates | PASS |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L314
LANE_REPORT.md	326	doc-progress	ran 10 successful core tests and one failure; subsequent suites were UNRUN in that	STILL TRUE — historical failure; STALE as current state	Original adb-fix2 ledger preserved by immutable source. Native workspace now passes locally and in N; subsequent historical suites were not counted as passed.	`crates/turnloop/src/backend/unix.rs:1073`, `libc::bind` returned -1 instead of 0. The assertion does not record errno, so the cause is **unconfirmed**. That invocation ran 10 successful core tests and one failure; subsequent suites were UNRUN in that invocation. The earlier complete default run and both all-feature workspace runs passed. No retry was used to replace this final FAIL, and no UDP assertion changed.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L326
LANE_REPORT.md	331	doc-progress	Linux/Windows native runtime and browser runtime are **UNRUN** (hosts unavailable;	STILL TRUE — historical local; STALE as current coverage	P: real native and WASI 0.2 services; PW2/PW3: selected portable suites. Browser raw database TCP is unavailable; p3 real DB service run absent.	Integrator should investigate the bind/reuse fixture separately.  Linux/Windows native runtime and browser runtime are **UNRUN** (hosts unavailable; browsers have no raw SQL TCP). Full Windows test checking needs its existing provider integration. The integrator should commit this coherent tree and run	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/LANE_REPORT.md#L331
README.md	12	manual-doc-claim	adapters are still being integrated. Perry is the first intended consumer.	STALE — current implementation	Protocol host transport adapters and production backends exist; N/P/PW2/PW3/WEB.	Protocol engines consume bytes and produce actions; host transport and executor adapters are still being integrated. Perry is the first intended consumer.  | Platform | Current implementation | Validation |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/README.md#L12
README.md	18	doc-progress	| FreeBSD / Apple mobile / Android | Unix backend paths | Best effort; runtime validation pending |	STILL TRUE — limitation or scoped statement	Still applies in stated scope; advanced parity, perf attribution, mobile/FreeBSD, fuzz and long soak are not implied by green bounded CI. See REMAINING_WORK.md.	| macOS arm64 | kqueue driver, sockets, timers, posts and pool | Native contracts and allocation tests | | Linux x86_64 / arm64 | epoll, nanosecond waits, timerfd fallback | Cross-checked locally; native CI required | | FreeBSD / Apple mobile / Android | Unix backend paths | Best effort; runtime validation pending | | Windows x86_64 | IOCP, TCP/UDP/named pipes, stdio, processes, console signals, timers and shared services | Native Windows 11 contracts and allocation/executor tests; see `spikes/iocp/WINDOWS_RESULTS.md` | | WASI 0.2 / 0.3 | Standalone polling / component async spikes | Production adapters and shared contracts pending |	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/README.md#L18
README.md	20	doc-progress	| WASI 0.2 / 0.3 | Standalone polling / component async spikes | Production adapters and shared contracts pending |	STALE — current coverage/implementation	N-W: required Windows default/executor/all-feature production suites execute; standalone spike reruns, ETW/cycles/minimum-version/long-soak are not implied.	| FreeBSD / Apple mobile / Android | Unix backend paths | Best effort; runtime validation pending | | Windows x86_64 | IOCP, TCP/UDP/named pipes, stdio, processes, console signals, timers and shared services | Native Windows 11 contracts and allocation/executor tests; see `spikes/iocp/WINDOWS_RESULTS.md` | | WASI 0.2 / 0.3 | Standalone polling / component async spikes | Production adapters and shared contracts pending | | Web | Standalone host-callback spike | Production adapter and browser contracts pending | 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/README.md#L20
README.md	21	doc-progress	| Web | Standalone host-callback spike | Production adapter and browser contracts pending |	STALE — current coverage/implementation	N-W: required Windows default/executor/all-feature production suites execute; standalone spike reruns, ETW/cycles/minimum-version/long-soak are not implied.	| Windows x86_64 | IOCP, TCP/UDP/named pipes, stdio, processes, console signals, timers and shared services | Native Windows 11 contracts and allocation/executor tests; see `spikes/iocp/WINDOWS_RESULTS.md` | | WASI 0.2 / 0.3 | Standalone polling / component async spikes | Production adapters and shared contracts pending | | Web | Standalone host-callback spike | Production adapter and browser contracts pending |  Windows and WASM are required for the first release; standalone spikes are	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/README.md#L21
RELEASING.md	117	doc-progress	**the same commit** whose tag was not yet created. A different already-published	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	`.cargo_vcs_info.json` source commit, then creates each crate's tag and GitHub Release with that version's changelog entry. A retry can recover an upload from **the same commit** whose tag was not yet created. A different already-published source commit is rejected. Tags and crate archives are immutable release records. 	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/RELEASING.md#L117
RELEASING.md	121	doc-progress	GitHub currently caps each pending queue at 100; beyond that GitHub cancels new	STILL TRUE — behavior/policy, not open work	Pending means operation/queue/phase state or a reporting rule. Read linked context; no missing implementation inferred.	 Main CI and release concurrency use `queue: max`, with no in-progress cancellation. GitHub currently caps each pending queue at 100; beyond that GitHub cancels new entries. Monitor that limit and rerun affected main SHAs. This platform limit cannot be removed by workflow YAML.	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/RELEASING.md#L121
WINDOWS_HANDOFF.md	23	doc-progress	Everything lives in `spikes/iocp/`. See `spikes/iocp/README.md` for what each test binary proves, and `docs/lanes/windows.md` for the full UNRUN list.	STALE — current coverage/implementation	N-W: required Windows default/executor/all-feature production suites execute; standalone spike reruns, ETW/cycles/minimum-version/long-soak are not implied.	## Phase 1: run the IOCP spikes (nothing is known to pass yet)  Everything lives in `spikes/iocp/`. See `spikes/iocp/README.md` for what each test binary proves, and `docs/lanes/windows.md` for the full UNRUN list.  ```powershell	https://github.com/PerryTS/turnloop/blob/a0fbb1bf9a100bb3215219f54301b9ee82ffe71f/WINDOWS_HANDOFF.md#L23
